,Latitude,Longitude,Area,15-29 years,30-64 years,65 years and over,No qualification,Level 1 certificate,Level 2 certificate,Level 3 certificate,Level 4 certificate,Level 5 diploma,Level 6 diploma,Bachelor degree and level 7 qualification,Post-graduate and honours degrees,Masters degree,Doctorate degree,Overseas secondary school qualification,Total people - religious affiliation,  Adventist,  Anglican,  Baptist,  Catholicism,"  Evangelical, Born Again and Fundamentalist",  Jehovah's Witnesses,  Latter-day Saints,  Methodist,  Pentecostal,"  Presbyterian, Congregational and Reformed","  Maori Religions, Beliefs and Philosophies",  Buddhism,  Hinduism,  Islam,  Judaism,  Spiritualism and New Age religions,  Sikhism,  Jedi,  Other religions,  No religion,European,Maori,Pacific Peoples,Asian,Middle Eastern/Latin American/African,Other ethnicity,Regular smoker,Ex-smoker,Never smoked regularly,No dependent children,One dependent child,Two dependent children,Three dependent children,Four or more dependent children,Total people - with at least one religious affiliation,No religion,Respondents,Year
62,-36.88840025,174.799000346314,Silverdale Central (Auckland),60.0,153.0,21.0,39.0,24.0,21.0,21.0,18.0,12.0,12.0,21.0,6.0,3.0,0.0,18.0,282.0,0.0,6.0,9.0,30.0,3.0,0.0,0.0,9.0,3.0,6.0,0.0,3.0,15.0,0.0,0.0,0.0,6.0,0.0,0.0,153.0,183.0,33.0,12.0,72.0,0.0,6.0,45.0,54.0,147.0,3.0,6.0,6.0,3.0,0.0,120.0,153.0,267.0,2018
64,-36.9267746,174.751289764518,Red Beach West,273.0,759.0,756.0,342.0,201.0,180.0,150.0,126.0,81.0,120.0,198.0,87.0,33.0,6.0,144.0,2136.0,6.0,231.0,63.0,213.0,24.0,9.0,12.0,45.0,36.0,108.0,0.0,6.0,21.0,12.0,3.0,9.0,6.0,9.0,9.0,975.0,1908.0,144.0,60.0,168.0,21.0,21.0,147.0,507.0,1140.0,54.0,57.0,84.0,18.0,9.0,1029.0,975.0,2133.0,2018
66,-36.9261069,174.7230677,Red Beach East,648.0,1758.0,903.0,462.0,396.0,333.0,348.0,303.0,147.0,195.0,504.0,162.0,102.0,21.0,186.0,4023.0,9.0,312.0,117.0,345.0,48.0,21.0,15.0,48.0,120.0,153.0,9.0,15.0,18.0,6.0,6.0,18.0,0.0,9.0,21.0,2022.0,3666.0,339.0,90.0,180.0,39.0,81.0,210.0,807.0,2289.0,114.0,117.0,174.0,57.0,21.0,1719.0,2022.0,4035.0,2018
68,-36.8545594,174.8368338,Silverdale South (Auckland),345.0,1053.0,222.0,195.0,183.0,168.0,165.0,174.0,72.0,90.0,225.0,87.0,51.0,9.0,120.0,2001.0,0.0,120.0,42.0,126.0,18.0,12.0,6.0,6.0,33.0,57.0,3.0,9.0,0.0,3.0,0.0,12.0,0.0,12.0,24.0,1224.0,1794.0,144.0,21.0,144.0,15.0,33.0,180.0,396.0,1050.0,69.0,75.0,93.0,27.0,6.0,642.0,1224.0,1989.0,2018
70,-36.88581605,174.761428224012,Waimauku,213.0,645.0,168.0,135.0,150.0,114.0,111.0,99.0,45.0,60.0,141.0,54.0,33.0,6.0,51.0,1338.0,3.0,81.0,18.0,105.0,3.0,24.0,0.0,6.0,15.0,45.0,0.0,6.0,15.0,0.0,0.0,6.0,0.0,6.0,9.0,816.0,1254.0,147.0,45.0,60.0,3.0,21.0,81.0,228.0,732.0,45.0,54.0,72.0,24.0,6.0,447.0,816.0,1290.0,2018
72,-36.848267,174.831802,Vipond,498.0,1254.0,609.0,378.0,291.0,264.0,231.0,207.0,126.0,114.0,291.0,138.0,69.0,6.0,153.0,2925.0,9.0,252.0,63.0,222.0,51.0,12.0,12.0,48.0,42.0,99.0,15.0,15.0,18.0,12.0,3.0,6.0,6.0,15.0,12.0,1548.0,2625.0,309.0,84.0,162.0,51.0,30.0,243.0,627.0,1509.0,72.0,96.0,141.0,39.0,9.0,1212.0,1548.0,2901.0,2018
74,-36.8832781,174.7796108,Muriwai,165.0,693.0,111.0,81.0,117.0,102.0,93.0,78.0,51.0,48.0,183.0,84.0,54.0,12.0,27.0,1248.0,3.0,45.0,3.0,90.0,0.0,0.0,3.0,3.0,3.0,21.0,3.0,9.0,3.0,3.0,3.0,12.0,3.0,15.0,12.0,867.0,1176.0,138.0,33.0,48.0,18.0,21.0,72.0,255.0,636.0,24.0,60.0,66.0,24.0,6.0,288.0,867.0,1224.0,2018
76,-36.9121999,174.744321026134,Stanmore Bay West,510.0,1251.0,288.0,288.0,225.0,201.0,222.0,192.0,123.0,99.0,312.0,117.0,60.0,12.0,111.0,2721.0,0.0,150.0,48.0,162.0,42.0,27.0,9.0,27.0,78.0,66.0,3.0,12.0,33.0,15.0,3.0,15.0,6.0,15.0,12.0,1491.0,2409.0,306.0,99.0,198.0,36.0,27.0,231.0,486.0,1347.0,57.0,132.0,132.0,45.0,9.0,1017.0,1491.0,2697.0,2018
78,-36.8649617,174.808999622809,Kumeu Rural West,345.0,744.0,270.0,243.0,156.0,150.0,156.0,108.0,66.0,66.0,186.0,57.0,42.0,6.0,51.0,1626.0,0.0,126.0,24.0,93.0,15.0,24.0,9.0,12.0,12.0,51.0,3.0,9.0,9.0,9.0,0.0,3.0,3.0,9.0,12.0,969.0,1452.0,156.0,72.0,105.0,15.0,15.0,153.0,270.0,936.0,66.0,69.0,42.0,27.0,6.0,546.0,969.0,1617.0,2018
80,-36.9073739,174.7327923,Okura Bush,288.0,630.0,186.0,99.0,90.0,108.0,147.0,81.0,51.0,63.0,171.0,78.0,48.0,12.0,96.0,1332.0,9.0,81.0,24.0,99.0,9.0,0.0,3.0,12.0,18.0,42.0,6.0,15.0,3.0,6.0,3.0,0.0,0.0,9.0,12.0,783.0,1116.0,78.0,24.0,186.0,3.0,21.0,90.0,249.0,756.0,66.0,57.0,60.0,21.0,3.0,483.0,783.0,1341.0,2018
82,-36.8926602,174.77581075117,Whangaparoa Central,714.0,1836.0,522.0,411.0,363.0,312.0,351.0,309.0,156.0,144.0,366.0,168.0,75.0,18.0,249.0,3786.0,3.0,249.0,90.0,300.0,30.0,30.0,27.0,27.0,72.0,102.0,6.0,48.0,66.0,3.0,3.0,18.0,12.0,18.0,24.0,2031.0,3324.0,312.0,84.0,342.0,30.0,51.0,294.0,723.0,2049.0,120.0,156.0,171.0,48.0,15.0,1455.0,2031.0,3786.0,2018
84,-36.8666735,174.7572057,Kumeu-Huapai,558.0,1662.0,366.0,315.0,294.0,276.0,285.0,258.0,132.0,135.0,396.0,162.0,75.0,6.0,165.0,3432.0,6.0,177.0,30.0,249.0,9.0,21.0,6.0,24.0,42.0,111.0,0.0,33.0,117.0,18.0,3.0,15.0,27.0,30.0,9.0,2043.0,2805.0,297.0,123.0,498.0,60.0,54.0,225.0,585.0,1800.0,93.0,162.0,192.0,63.0,6.0,1221.0,2043.0,3402.0,2018
86,-36.9588419,174.839404168894,Stanmore Bay East,600.0,1236.0,408.0,381.0,270.0,222.0,213.0,231.0,102.0,96.0,267.0,102.0,63.0,6.0,144.0,2733.0,9.0,150.0,54.0,198.0,39.0,15.0,12.0,24.0,54.0,66.0,12.0,12.0,24.0,18.0,3.0,12.0,6.0,21.0,21.0,1512.0,2433.0,360.0,72.0,177.0,36.0,18.0,282.0,576.0,1374.0,72.0,111.0,84.0,39.0,6.0,1035.0,1512.0,2751.0,2018
88,-36.9100559,174.703244223012,Manly West,384.0,1068.0,489.0,276.0,252.0,207.0,189.0,174.0,105.0,111.0,267.0,96.0,42.0,12.0,117.0,2349.0,6.0,183.0,54.0,186.0,18.0,9.0,9.0,21.0,39.0,90.0,6.0,30.0,12.0,6.0,0.0,12.0,0.0,12.0,12.0,1281.0,2154.0,210.0,78.0,105.0,18.0,18.0,189.0,534.0,1215.0,75.0,81.0,93.0,33.0,6.0,897.0,1281.0,2352.0,2018
90,-36.8758277,174.751068,Muriwai Valley-Bethells Beach,174.0,570.0,123.0,90.0,93.0,87.0,93.0,108.0,36.0,33.0,132.0,69.0,36.0,9.0,24.0,1104.0,0.0,39.0,6.0,96.0,3.0,18.0,0.0,6.0,3.0,24.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,6.0,9.0,741.0,1065.0,111.0,33.0,18.0,6.0,9.0,75.0,210.0,582.0,18.0,48.0,66.0,12.0,6.0,294.0,741.0,1077.0,2018
92,-36.8968565,174.6972754,Tindalls-Matakatia,300.0,930.0,447.0,192.0,162.0,171.0,168.0,171.0,105.0,114.0,222.0,99.0,39.0,18.0,132.0,1977.0,0.0,195.0,51.0,147.0,24.0,30.0,6.0,15.0,36.0,78.0,0.0,6.0,9.0,3.0,0.0,15.0,0.0,12.0,15.0,972.0,1821.0,120.0,42.0,111.0,12.0,30.0,114.0,456.0,1095.0,84.0,69.0,87.0,24.0,3.0,849.0,972.0,2034.0,2018
94,-36.8710399,174.7479557,Coatesville,465.0,1152.0,300.0,147.0,171.0,201.0,198.0,144.0,72.0,102.0,336.0,159.0,90.0,27.0,129.0,2328.0,3.0,192.0,24.0,171.0,15.0,12.0,0.0,21.0,33.0,57.0,0.0,9.0,15.0,3.0,0.0,9.0,9.0,3.0,15.0,1356.0,2067.0,102.0,45.0,234.0,6.0,21.0,105.0,387.0,1392.0,108.0,87.0,114.0,45.0,9.0,810.0,1356.0,2346.0,2018
96,-36.8622777,174.767751,Dairy Flat South,348.0,822.0,165.0,117.0,126.0,120.0,168.0,102.0,69.0,66.0,222.0,111.0,63.0,21.0,105.0,1617.0,6.0,72.0,15.0,126.0,9.0,9.0,3.0,12.0,42.0,57.0,0.0,15.0,9.0,12.0,0.0,3.0,0.0,6.0,9.0,945.0,1371.0,72.0,21.0,219.0,18.0,12.0,108.0,249.0,996.0,81.0,69.0,54.0,27.0,3.0,558.0,945.0,1602.0,2018
