,Latitude,Longitude,Area,15-29 years,30-64 years,65 years and over,No qualification,Level 1 certificate,Level 2 certificate,Level 3 certificate,Level 4 certificate,Level 5 diploma,Level 6 diploma,Bachelor degree and level 7 qualification,Post-graduate and honours degrees,Masters degree,Doctorate degree,Overseas secondary school qualification,Total people - religious affiliation,  Adventist,  Anglican,  Baptist,  Catholicism,"  Evangelical, Born Again and Fundamentalist",  Jehovah's Witnesses,  Latter-day Saints,  Methodist,  Pentecostal,"  Presbyterian, Congregational and Reformed","  Maori Religions, Beliefs and Philosophies",  Buddhism,  Hinduism,  Islam,  Judaism,  Spiritualism and New Age religions,  Sikhism,  Jedi,  Other religions,  No religion,European,Maori,Pacific Peoples,Asian,Middle Eastern/Latin American/African,Other ethnicity,Regular smoker,Ex-smoker,Never smoked regularly,No dependent children,One dependent child,Two dependent children,Three dependent children,Four or more dependent children,Total people - with at least one religious affiliation,No religion,Respondents,Year
316,-36.69452860463503,174.65238404133865,Te Atatu South-Central,963.0,2037.0,450.0,522.0,309.0,309.0,393.0,261.0,147.0,135.0,522.0,171.0,117.0,15.0,309.0,4257.0,18.0,132.0,51.0,510.0,18.0,9.0,33.0,66.0,129.0,153.0,33.0,111.0,168.0,105.0,0.0,15.0,24.0,27.0,36.0,1962.0,2388.0,591.0,606.0,1251.0,75.0,54.0,438.0,627.0,2358.0,132.0,165.0,150.0,45.0,18.0,2046.0,1962.0,4287.0,2018
318,-36.801952030599885,174.55180194173676,Northcote Central (Auckland),618.0,924.0,369.0,297.0,144.0,105.0,234.0,126.0,84.0,78.0,273.0,93.0,72.0,12.0,174.0,2358.0,6.0,102.0,39.0,267.0,9.0,12.0,60.0,135.0,60.0,63.0,33.0,45.0,57.0,72.0,6.0,6.0,18.0,9.0,21.0,957.0,906.0,339.0,501.0,768.0,102.0,24.0,282.0,318.0,1335.0,48.0,57.0,60.0,15.0,12.0,1254.0,957.0,2331.0,2018
320,-36.75601238377688,174.63669937197471,Akoranga,393.0,333.0,423.0,147.0,87.0,78.0,195.0,51.0,36.0,75.0,132.0,45.0,36.0,6.0,69.0,1167.0,6.0,135.0,18.0,108.0,6.0,0.0,72.0,60.0,12.0,75.0,12.0,21.0,30.0,9.0,6.0,6.0,9.0,6.0,6.0,441.0,738.0,135.0,132.0,219.0,33.0,6.0,84.0,210.0,762.0,15.0,24.0,12.0,3.0,0.0,684.0,441.0,1260.0,2018
322,-36.88859639943016,174.51835386230812,Northcote South (Auckland),600.0,1197.0,297.0,132.0,123.0,147.0,231.0,102.0,108.0,93.0,519.0,153.0,123.0,24.0,180.0,2496.0,3.0,120.0,12.0,306.0,15.0,3.0,9.0,30.0,45.0,108.0,3.0,66.0,78.0,33.0,9.0,9.0,9.0,9.0,33.0,1266.0,1518.0,174.0,90.0,843.0,57.0,18.0,141.0,405.0,1524.0,60.0,81.0,114.0,24.0,3.0,1113.0,1266.0,2511.0,2018
324,-36.7218590084053,174.7153961128957,Birkenhead South,525.0,1479.0,438.0,165.0,156.0,204.0,252.0,132.0,99.0,162.0,579.0,270.0,183.0,39.0,126.0,3018.0,3.0,228.0,21.0,351.0,12.0,9.0,15.0,18.0,24.0,75.0,0.0,48.0,24.0,9.0,9.0,21.0,9.0,18.0,9.0,1740.0,2622.0,189.0,66.0,282.0,78.0,30.0,150.0,513.0,1800.0,84.0,105.0,156.0,51.0,0.0,1110.0,1740.0,2997.0,2018
326,-36.72348858319089,174.7418071231898,Henderson Central,201.0,438.0,501.0,294.0,105.0,81.0,81.0,72.0,48.0,39.0,96.0,27.0,21.0,3.0,93.0,1260.0,0.0,120.0,18.0,168.0,6.0,6.0,18.0,24.0,30.0,78.0,12.0,9.0,69.0,12.0,6.0,6.0,0.0,6.0,9.0,459.0,816.0,129.0,135.0,267.0,21.0,12.0,150.0,285.0,690.0,15.0,27.0,12.0,3.0,3.0,714.0,459.0,1278.0,2018
328,-36.77124690789876,174.69534972316208,Waiatarua,363.0,1095.0,303.0,210.0,213.0,180.0,195.0,162.0,81.0,75.0,264.0,108.0,93.0,24.0,75.0,2148.0,6.0,105.0,21.0,168.0,27.0,15.0,21.0,33.0,33.0,75.0,6.0,18.0,24.0,24.0,3.0,9.0,0.0,15.0,18.0,1236.0,1899.0,252.0,108.0,144.0,27.0,27.0,168.0,438.0,1155.0,84.0,81.0,99.0,24.0,6.0,771.0,1236.0,2160.0,2018
330,-36.778823141406455,174.68944456330456,Te Atatu South-McLeod North,747.0,1542.0,315.0,426.0,228.0,183.0,288.0,159.0,147.0,96.0,426.0,138.0,102.0,15.0,222.0,3312.0,36.0,102.0,27.0,306.0,39.0,9.0,27.0,57.0,96.0,138.0,36.0,99.0,216.0,117.0,0.0,18.0,9.0,18.0,24.0,1425.0,1560.0,546.0,525.0,1119.0,132.0,33.0,372.0,456.0,1776.0,87.0,141.0,120.0,36.0,15.0,1674.0,1425.0,3297.0,2018
332,-36.82457527064168,174.6027411648668,Henderson Valley Park,453.0,810.0,150.0,288.0,138.0,147.0,180.0,99.0,57.0,27.0,147.0,30.0,33.0,0.0,126.0,1914.0,24.0,30.0,21.0,243.0,42.0,30.0,57.0,60.0,69.0,114.0,45.0,15.0,66.0,63.0,3.0,0.0,3.0,9.0,18.0,660.0,762.0,429.0,723.0,321.0,78.0,24.0,255.0,255.0,906.0,36.0,72.0,48.0,30.0,18.0,1104.0,660.0,1917.0,2018
334,-36.73120967825994,174.75150776677265,Henderson North East,537.0,1122.0,531.0,417.0,198.0,171.0,219.0,165.0,96.0,90.0,276.0,78.0,69.0,9.0,222.0,2658.0,24.0,102.0,33.0,378.0,24.0,6.0,36.0,63.0,51.0,132.0,15.0,36.0,81.0,105.0,0.0,12.0,12.0,12.0,12.0,1062.0,1335.0,351.0,474.0,807.0,66.0,15.0,294.0,408.0,1476.0,72.0,90.0,69.0,21.0,9.0,1419.0,1062.0,2673.0,2018
336,-36.8198095627336,174.6379127343513,Waitakere Ranges South,180.0,597.0,144.0,96.0,102.0,96.0,81.0,90.0,42.0,36.0,138.0,66.0,54.0,15.0,42.0,1104.0,3.0,36.0,9.0,60.0,6.0,0.0,0.0,6.0,3.0,12.0,3.0,9.0,9.0,0.0,0.0,12.0,0.0,12.0,15.0,789.0,1026.0,168.0,48.0,33.0,3.0,18.0,90.0,303.0,510.0,27.0,39.0,36.0,12.0,6.0,237.0,789.0,1128.0,2018
338,-36.77070392387351,174.71403288008085,Northcote Tuff Crater,573.0,1044.0,303.0,141.0,93.0,132.0,189.0,99.0,84.0,96.0,447.0,147.0,126.0,27.0,207.0,2214.0,0.0,99.0,15.0,261.0,12.0,3.0,18.0,24.0,30.0,78.0,6.0,39.0,45.0,30.0,6.0,0.0,6.0,15.0,27.0,1161.0,1344.0,123.0,81.0,750.0,72.0,33.0,150.0,345.0,1404.0,51.0,87.0,78.0,15.0,3.0,918.0,1161.0,2232.0,2018
340,-36.75770575099387,174.738690393164,Northcote Point (Auckland),591.0,1542.0,504.0,222.0,162.0,231.0,261.0,144.0,108.0,141.0,669.0,252.0,165.0,36.0,129.0,3246.0,0.0,231.0,15.0,465.0,15.0,6.0,9.0,48.0,36.0,105.0,6.0,12.0,39.0,39.0,15.0,9.0,6.0,15.0,21.0,1782.0,2706.0,267.0,123.0,414.0,54.0,27.0,201.0,498.0,1923.0,81.0,117.0,156.0,51.0,9.0,1278.0,1782.0,3258.0,2018
342,-36.823502418464784,174.62226659374892,McLaren Park,1002.0,1869.0,393.0,684.0,306.0,306.0,363.0,264.0,138.0,90.0,351.0,87.0,69.0,9.0,255.0,4350.0,54.0,108.0,39.0,558.0,54.0,27.0,123.0,168.0,150.0,201.0,51.0,81.0,174.0,126.0,6.0,9.0,21.0,33.0,30.0,1581.0,1941.0,759.0,1422.0,963.0,108.0,48.0,555.0,582.0,2154.0,81.0,168.0,129.0,63.0,24.0,2511.0,1581.0,4323.0,2018
344,-36.76785733464949,174.72697893207638,Henderson East,612.0,1284.0,360.0,423.0,216.0,177.0,252.0,159.0,99.0,84.0,312.0,99.0,69.0,3.0,207.0,2874.0,15.0,108.0,15.0,495.0,15.0,39.0,45.0,69.0,66.0,126.0,36.0,66.0,156.0,93.0,0.0,9.0,24.0,9.0,9.0,1038.0,1284.0,423.0,603.0,936.0,66.0,30.0,318.0,426.0,1539.0,84.0,108.0,84.0,21.0,15.0,1662.0,1038.0,2838.0,2018
346,-36.83777391080986,174.62122754374172,Te Atatu South-McLeod South,804.0,1698.0,519.0,549.0,279.0,258.0,333.0,213.0,111.0,123.0,474.0,132.0,78.0,9.0,234.0,3813.0,15.0,177.0,33.0,447.0,39.0,36.0,54.0,78.0,120.0,159.0,27.0,42.0,150.0,90.0,0.0,24.0,12.0,9.0,30.0,1635.0,2028.0,558.0,729.0,1029.0,90.0,57.0,393.0,549.0,2067.0,102.0,147.0,144.0,33.0,18.0,1923.0,1635.0,3804.0,2018
348,-36.85648996094356,174.60077259351246,Takapuna South,258.0,681.0,333.0,84.0,114.0,120.0,102.0,69.0,54.0,75.0,267.0,126.0,96.0,27.0,54.0,1464.0,0.0,123.0,6.0,165.0,6.0,0.0,6.0,18.0,12.0,66.0,3.0,15.0,3.0,12.0,6.0,6.0,21.0,9.0,9.0,789.0,1248.0,78.0,24.0,180.0,33.0,12.0,66.0,258.0,927.0,45.0,51.0,51.0,21.0,3.0,597.0,789.0,1488.0,2018
350,-36.831407470616895,174.64378557360095,Hauraki,774.0,1992.0,522.0,207.0,240.0,294.0,285.0,207.0,138.0,189.0,759.0,285.0,249.0,36.0,252.0,4131.0,0.0,276.0,45.0,438.0,24.0,0.0,6.0,45.0,30.0,153.0,12.0,57.0,48.0,51.0,6.0,6.0,3.0,18.0,30.0,2349.0,3030.0,246.0,99.0,933.0,99.0,36.0,189.0,630.0,2451.0,117.0,168.0,213.0,66.0,15.0,1569.0,2349.0,4140.0,2018
352,-36.76420313784944,174.74192804309877,Glendene North,1041.0,2112.0,513.0,696.0,357.0,318.0,417.0,312.0,168.0,117.0,468.0,129.0,111.0,15.0,309.0,4686.0,36.0,132.0,42.0,558.0,63.0,45.0,93.0,126.0,135.0,255.0,36.0,96.0,336.0,171.0,6.0,9.0,27.0,15.0,33.0,1641.0,1992.0,669.0,1218.0,1362.0,120.0,78.0,540.0,636.0,2505.0,180.0,171.0,141.0,51.0,33.0,2691.0,1641.0,4653.0,2018
354,-36.78096488508591,174.7226410844308,Sunnyvale West-Parrs Park,648.0,1071.0,159.0,300.0,150.0,165.0,246.0,117.0,84.0,63.0,273.0,69.0,69.0,12.0,153.0,2553.0,39.0,48.0,24.0,351.0,45.0,6.0,45.0,75.0,90.0,153.0,51.0,33.0,174.0,114.0,0.0,9.0,18.0,15.0,12.0,798.0,879.0,453.0,834.0,768.0,111.0,24.0,306.0,276.0,1299.0,48.0,126.0,75.0,36.0,15.0,1620.0,798.0,2538.0,2018
356,-36.86270165422888,174.61871299356372,Sunnyvale East,1092.0,2130.0,504.0,597.0,360.0,309.0,414.0,312.0,159.0,120.0,546.0,138.0,102.0,12.0,291.0,4773.0,18.0,180.0,36.0,573.0,84.0,33.0,78.0,129.0,174.0,168.0,57.0,72.0,300.0,159.0,3.0,18.0,24.0,24.0,18.0,1878.0,2406.0,777.0,1038.0,1245.0,159.0,72.0,507.0,750.0,2448.0,126.0,180.0,144.0,51.0,27.0,2613.0,1878.0,4794.0,2018
358,-36.8399336152549,174.6521228347112,Point Chevalier West,597.0,1650.0,903.0,375.0,267.0,276.0,300.0,186.0,93.0,168.0,654.0,294.0,174.0,48.0,144.0,3858.0,9.0,333.0,42.0,510.0,21.0,6.0,12.0,60.0,30.0,150.0,18.0,39.0,39.0,63.0,21.0,18.0,0.0,6.0,30.0,1983.0,3189.0,348.0,306.0,402.0,78.0,39.0,180.0,714.0,2247.0,75.0,129.0,195.0,51.0,9.0,1662.0,1983.0,3867.0,2018
360,-36.8399336152549,174.6521228347112,Belmont (Auckland),624.0,1314.0,426.0,201.0,189.0,180.0,273.0,159.0,105.0,120.0,495.0,228.0,150.0,30.0,150.0,3027.0,3.0,219.0,18.0,246.0,12.0,9.0,12.0,39.0,33.0,102.0,3.0,72.0,39.0,21.0,3.0,15.0,12.0,12.0,18.0,1722.0,2262.0,264.0,126.0,576.0,90.0,45.0,171.0,477.0,1734.0,72.0,117.0,156.0,45.0,6.0,1158.0,1722.0,3009.0,2018
362,-36.807578742704,174.71030534079676,Bayswater,660.0,1284.0,369.0,222.0,183.0,222.0,267.0,168.0,90.0,129.0,450.0,171.0,141.0,21.0,123.0,2865.0,9.0,240.0,6.0,294.0,15.0,3.0,33.0,27.0,21.0,75.0,9.0,30.0,15.0,21.0,15.0,18.0,0.0,18.0,15.0,1563.0,2310.0,336.0,180.0,294.0,66.0,42.0,156.0,522.0,1623.0,81.0,120.0,138.0,39.0,3.0,1086.0,1563.0,2868.0,2018
364,-36.78530505337259,174.73569037397917,Glendene South,639.0,1338.0,273.0,414.0,213.0,189.0,228.0,186.0,102.0,102.0,279.0,84.0,51.0,6.0,201.0,2877.0,9.0,111.0,21.0,348.0,27.0,36.0,93.0,105.0,63.0,114.0,36.0,48.0,261.0,177.0,3.0,9.0,27.0,3.0,15.0,897.0,1170.0,390.0,750.0,924.0,84.0,24.0,348.0,360.0,1554.0,105.0,111.0,87.0,27.0,18.0,1761.0,897.0,2862.0,2018
366,-36.88806375526118,174.61315811123688,Glen Eden West,879.0,1602.0,417.0,534.0,318.0,240.0,336.0,222.0,135.0,99.0,348.0,129.0,90.0,9.0,213.0,3801.0,18.0,150.0,57.0,501.0,27.0,18.0,24.0,123.0,111.0,141.0,36.0,45.0,189.0,78.0,0.0,21.0,15.0,24.0,24.0,1584.0,2151.0,609.0,1014.0,690.0,48.0,27.0,414.0,588.0,1884.0,93.0,147.0,117.0,48.0,24.0,1950.0,1584.0,3804.0,2018
368,-36.78872328750869,174.75555372089855,Herne Bay,498.0,1536.0,477.0,159.0,189.0,177.0,231.0,96.0,60.0,123.0,693.0,291.0,249.0,45.0,90.0,3036.0,0.0,360.0,18.0,462.0,3.0,0.0,6.0,18.0,12.0,132.0,3.0,21.0,18.0,6.0,18.0,12.0,0.0,6.0,33.0,1635.0,2805.0,168.0,60.0,186.0,48.0,24.0,156.0,516.0,1842.0,78.0,81.0,111.0,63.0,9.0,1245.0,1635.0,3024.0,2018
370,-36.8160047301561,174.74584368322127,Westmere North,444.0,1143.0,249.0,159.0,123.0,153.0,171.0,90.0,60.0,81.0,501.0,204.0,156.0,36.0,54.0,2343.0,6.0,192.0,18.0,270.0,12.0,3.0,12.0,18.0,9.0,72.0,3.0,18.0,75.0,9.0,6.0,12.0,6.0,12.0,18.0,1383.0,2022.0,189.0,120.0,216.0,36.0,15.0,141.0,384.0,1323.0,69.0,90.0,141.0,42.0,3.0,852.0,1383.0,2325.0,2018
372,-37.02654431040258,174.51460125804098,Point Chevalier East,789.0,2328.0,432.0,339.0,264.0,291.0,390.0,183.0,144.0,189.0,822.0,354.0,246.0,51.0,132.0,4602.0,6.0,234.0,39.0,576.0,21.0,9.0,36.0,63.0,27.0,135.0,15.0,51.0,84.0,48.0,15.0,30.0,12.0,9.0,54.0,2613.0,3747.0,408.0,417.0,486.0,96.0,63.0,309.0,783.0,2490.0,105.0,171.0,282.0,72.0,9.0,1737.0,2613.0,4542.0,2018
374,-36.8814707790539,174.64724167143643,Oratia,363.0,1125.0,243.0,168.0,189.0,186.0,192.0,141.0,81.0,90.0,264.0,141.0,102.0,15.0,78.0,2151.0,3.0,102.0,24.0,168.0,9.0,9.0,0.0,15.0,9.0,54.0,3.0,9.0,18.0,3.0,3.0,18.0,3.0,6.0,27.0,1383.0,1989.0,165.0,69.0,108.0,36.0,30.0,123.0,426.0,1164.0,75.0,75.0,114.0,36.0,9.0,636.0,1383.0,2172.0,2018
376,-36.89770231248188,174.6433150201236,Glen Eden Rosier,777.0,1620.0,315.0,444.0,258.0,246.0,315.0,246.0,126.0,102.0,363.0,126.0,87.0,12.0,186.0,3537.0,24.0,96.0,66.0,366.0,36.0,24.0,57.0,75.0,111.0,129.0,33.0,90.0,192.0,78.0,0.0,21.0,18.0,12.0,30.0,1548.0,1935.0,537.0,771.0,804.0,87.0,57.0,417.0,543.0,1749.0,99.0,138.0,129.0,45.0,18.0,1776.0,1548.0,3528.0,2018
378,-36.89557118337117,174.654094024215,Saint Marys Bay,462.0,1158.0,417.0,120.0,132.0,159.0,177.0,60.0,66.0,105.0,513.0,255.0,171.0,45.0,90.0,2205.0,6.0,204.0,3.0,318.0,6.0,0.0,0.0,12.0,9.0,96.0,3.0,18.0,24.0,15.0,12.0,12.0,15.0,15.0,15.0,1194.0,1923.0,141.0,66.0,201.0,33.0,21.0,171.0,489.0,1341.0,63.0,57.0,54.0,18.0,0.0,879.0,1194.0,2244.0,2018
380,-36.86509672560968,174.71402962404864,Westmere South-Western Springs,588.0,1623.0,234.0,159.0,144.0,186.0,222.0,117.0,78.0,117.0,666.0,303.0,210.0,42.0,69.0,3099.0,12.0,207.0,6.0,318.0,6.0,3.0,24.0,18.0,12.0,123.0,3.0,21.0,27.0,48.0,15.0,15.0,0.0,15.0,21.0,1944.0,2607.0,360.0,291.0,198.0,69.0,30.0,207.0,582.0,1644.0,57.0,108.0,183.0,48.0,3.0,1002.0,1944.0,3099.0,2018
382,-36.91448821832344,174.643031974978,Ponsonby West,429.0,1185.0,192.0,132.0,114.0,126.0,174.0,69.0,63.0,78.0,516.0,213.0,138.0,30.0,81.0,2337.0,0.0,159.0,6.0,348.0,9.0,3.0,27.0,24.0,12.0,96.0,9.0,18.0,33.0,21.0,9.0,15.0,3.0,12.0,21.0,1278.0,1905.0,225.0,234.0,252.0,42.0,21.0,150.0,414.0,1284.0,36.0,99.0,117.0,36.0,6.0,936.0,1278.0,2298.0,2018
384,-36.91256490486422,174.6466648454256,Kelston North,666.0,1245.0,246.0,381.0,198.0,183.0,252.0,132.0,87.0,66.0,276.0,69.0,54.0,6.0,192.0,2766.0,21.0,60.0,15.0,261.0,27.0,42.0,144.0,108.0,132.0,210.0,24.0,84.0,225.0,114.0,0.0,12.0,6.0,9.0,9.0,834.0,852.0,444.0,1026.0,876.0,48.0,30.0,372.0,336.0,1452.0,84.0,114.0,87.0,39.0,15.0,1764.0,834.0,2763.0,2018
386,-36.882436955034166,174.7868973064782,Avondale Rosebank,1038.0,1884.0,465.0,576.0,249.0,261.0,360.0,210.0,117.0,138.0,552.0,162.0,114.0,30.0,276.0,4320.0,45.0,105.0,27.0,525.0,60.0,24.0,90.0,153.0,132.0,273.0,51.0,99.0,228.0,138.0,3.0,18.0,21.0,21.0,27.0,1584.0,1755.0,618.0,1467.0,1089.0,156.0,54.0,459.0,537.0,2400.0,114.0,135.0,138.0,48.0,21.0,2436.0,1584.0,4299.0,2018
388,-36.85092796659561,174.76074446039783,Narrow Neck,714.0,1935.0,618.0,249.0,258.0,249.0,339.0,168.0,129.0,189.0,690.0,369.0,252.0,36.0,177.0,4098.0,6.0,351.0,21.0,393.0,6.0,3.0,6.0,27.0,15.0,132.0,15.0,51.0,33.0,30.0,12.0,12.0,6.0,24.0,24.0,2451.0,3543.0,270.0,75.0,405.0,87.0,42.0,165.0,738.0,2331.0,111.0,132.0,231.0,78.0,9.0,1422.0,2451.0,4122.0,2018
390,-36.85185517845713,174.76482359661415,Glen Eden North,579.0,1080.0,228.0,291.0,159.0,150.0,222.0,138.0,81.0,69.0,264.0,102.0,69.0,15.0,138.0,2388.0,18.0,69.0,21.0,318.0,12.0,24.0,33.0,69.0,66.0,144.0,27.0,24.0,177.0,84.0,0.0,18.0,24.0,15.0,18.0,831.0,1119.0,357.0,576.0,663.0,66.0,18.0,282.0,357.0,1236.0,54.0,87.0,78.0,24.0,15.0,1395.0,831.0,2397.0,2018
392,-36.91867114607621,174.6777876598449,Glen Eden Woodglen,873.0,2052.0,348.0,489.0,327.0,315.0,384.0,273.0,147.0,138.0,483.0,183.0,120.0,21.0,192.0,4263.0,39.0,141.0,54.0,456.0,27.0,15.0,30.0,99.0,141.0,171.0,27.0,57.0,156.0,78.0,6.0,33.0,18.0,15.0,36.0,1989.0,2712.0,654.0,834.0,738.0,84.0,51.0,504.0,744.0,2034.0,99.0,192.0,153.0,54.0,24.0,1959.0,1989.0,4251.0,2018
394,-36.92107732840751,174.67852429779927,Kelston South,690.0,1122.0,198.0,342.0,132.0,150.0,249.0,135.0,99.0,54.0,267.0,87.0,45.0,6.0,213.0,2589.0,36.0,69.0,9.0,279.0,27.0,9.0,108.0,129.0,96.0,177.0,27.0,66.0,300.0,165.0,0.0,6.0,30.0,3.0,15.0,627.0,735.0,411.0,897.0,948.0,93.0,15.0,270.0,282.0,1464.0,81.0,93.0,75.0,24.0,18.0,1845.0,627.0,2580.0,2018
396,-36.92775275393717,174.68006924835683,Waterview,906.0,1569.0,297.0,339.0,168.0,201.0,297.0,165.0,93.0,126.0,582.0,216.0,156.0,30.0,162.0,3375.0,18.0,129.0,15.0,348.0,15.0,15.0,60.0,90.0,60.0,126.0,18.0,69.0,102.0,117.0,6.0,15.0,18.0,18.0,33.0,1626.0,1842.0,360.0,693.0,729.0,174.0,42.0,348.0,531.0,1887.0,57.0,108.0,111.0,27.0,12.0,1581.0,1626.0,3372.0,2018
398,-36.87479871530843,174.7430850836546,Ponsonby East,867.0,1749.0,324.0,141.0,150.0,198.0,306.0,93.0,81.0,135.0,864.0,354.0,252.0,48.0,105.0,3393.0,12.0,201.0,15.0,423.0,3.0,3.0,21.0,9.0,30.0,120.0,3.0,39.0,42.0,18.0,12.0,12.0,3.0,18.0,33.0,2055.0,2874.0,279.0,258.0,276.0,75.0,48.0,243.0,663.0,2031.0,57.0,120.0,102.0,24.0,3.0,1167.0,2055.0,3387.0,2018
400,-36.93659411256444,174.67666732830045,Wynyard-Viaduct,210.0,819.0,216.0,33.0,54.0,60.0,72.0,39.0,33.0,39.0,234.0,120.0,120.0,21.0,81.0,1008.0,0.0,78.0,3.0,120.0,0.0,0.0,0.0,3.0,6.0,24.0,0.0,18.0,9.0,18.0,3.0,9.0,6.0,0.0,18.0,579.0,759.0,36.0,18.0,189.0,42.0,24.0,63.0,210.0,699.0,15.0,24.0,9.0,0.0,0.0,387.0,579.0,1293.0,2018
402,-36.91731910528709,174.71305301033314,Stanley Point,582.0,921.0,279.0,87.0,90.0,132.0,171.0,69.0,45.0,69.0,321.0,195.0,132.0,36.0,72.0,2025.0,0.0,228.0,0.0,216.0,3.0,3.0,12.0,12.0,9.0,51.0,9.0,15.0,3.0,0.0,6.0,9.0,3.0,6.0,18.0,1182.0,1797.0,153.0,42.0,81.0,27.0,87.0,90.0,351.0,1194.0,48.0,60.0,114.0,33.0,9.0,720.0,1182.0,2160.0,2018
404,-36.88644175052263,174.7724577680925,Glen Eden Central,750.0,1680.0,363.0,390.0,240.0,213.0,282.0,213.0,129.0,102.0,486.0,177.0,108.0,18.0,192.0,3573.0,3.0,120.0,51.0,330.0,30.0,9.0,39.0,42.0,54.0,99.0,24.0,48.0,234.0,114.0,6.0,18.0,18.0,21.0,36.0,1755.0,2148.0,498.0,459.0,939.0,102.0,36.0,357.0,549.0,1887.0,78.0,147.0,150.0,33.0,12.0,1587.0,1755.0,3552.0,2018
406,-36.90355366655929,174.7354085562318,Grey Lynn North,777.0,1587.0,201.0,147.0,108.0,192.0,267.0,105.0,99.0,108.0,678.0,327.0,246.0,39.0,93.0,3099.0,6.0,174.0,12.0,384.0,12.0,3.0,24.0,30.0,21.0,66.0,15.0,30.0,48.0,18.0,12.0,12.0,0.0,18.0,30.0,1902.0,2538.0,321.0,351.0,237.0,54.0,36.0,261.0,603.0,1743.0,48.0,96.0,120.0,39.0,9.0,1068.0,1902.0,3060.0,2018
408,-36.91937339799456,174.7121418996567,Avondale West (Auckland),1065.0,1791.0,324.0,570.0,198.0,231.0,363.0,174.0,138.0,126.0,477.0,138.0,111.0,18.0,318.0,4017.0,51.0,72.0,15.0,414.0,33.0,6.0,132.0,186.0,132.0,231.0,27.0,129.0,279.0,186.0,3.0,12.0,57.0,18.0,33.0,1320.0,1062.0,486.0,1443.0,1425.0,156.0,39.0,474.0,447.0,2274.0,105.0,135.0,111.0,45.0,18.0,2442.0,1320.0,3999.0,2018
410,-36.899756145383634,174.74039880607205,Freemans Bay,1158.0,2436.0,537.0,210.0,204.0,243.0,324.0,132.0,117.0,177.0,1089.0,528.0,378.0,78.0,192.0,4407.0,6.0,252.0,18.0,492.0,15.0,12.0,12.0,27.0,30.0,132.0,9.0,45.0,60.0,51.0,36.0,21.0,9.0,21.0,51.0,2613.0,3531.0,348.0,237.0,516.0,147.0,57.0,420.0,906.0,2682.0,66.0,102.0,90.0,18.0,0.0,1545.0,2613.0,4536.0,2018
412,-36.86588733914861,174.79498997640428,Mount Albert West,651.0,1272.0,288.0,240.0,126.0,123.0,225.0,117.0,90.0,96.0,459.0,171.0,180.0,30.0,144.0,2685.0,3.0,111.0,18.0,270.0,21.0,6.0,18.0,27.0,30.0,60.0,21.0,24.0,183.0,114.0,6.0,6.0,9.0,9.0,24.0,1365.0,1488.0,252.0,252.0,909.0,108.0,30.0,195.0,405.0,1572.0,57.0,99.0,132.0,27.0,12.0,1182.0,1365.0,2724.0,2018
414,-36.90243296884256,174.7404846367577,Avondale North (Auckland),1107.0,2181.0,399.0,405.0,216.0,273.0,393.0,210.0,150.0,156.0,780.0,252.0,234.0,33.0,315.0,4488.0,36.0,114.0,18.0,585.0,27.0,9.0,66.0,87.0,96.0,156.0,15.0,132.0,228.0,165.0,0.0,18.0,30.0,21.0,39.0,1998.0,2184.0,477.0,774.0,1482.0,168.0,66.0,399.0,693.0,2604.0,102.0,177.0,147.0,30.0,12.0,2244.0,1998.0,4482.0,2018
416,-36.90833149542576,174.75481753216908,Grey Lynn West,801.0,1596.0,306.0,234.0,165.0,177.0,303.0,132.0,102.0,99.0,615.0,270.0,177.0,39.0,102.0,3156.0,3.0,159.0,6.0,354.0,9.0,6.0,36.0,60.0,18.0,147.0,27.0,30.0,60.0,48.0,12.0,15.0,3.0,15.0,42.0,1752.0,2259.0,363.0,501.0,354.0,105.0,24.0,312.0,603.0,1722.0,45.0,93.0,117.0,36.0,3.0,1233.0,1752.0,3225.0,2018
418,-36.90086204892094,174.7744951704585,Mount Albert North,927.0,1989.0,315.0,270.0,201.0,234.0,333.0,159.0,108.0,141.0,768.0,294.0,219.0,54.0,183.0,4044.0,12.0,126.0,33.0,408.0,39.0,6.0,18.0,36.0,69.0,126.0,18.0,78.0,204.0,192.0,3.0,12.0,21.0,21.0,33.0,2055.0,2511.0,360.0,396.0,1125.0,135.0,42.0,315.0,585.0,2259.0,84.0,150.0,192.0,75.0,12.0,1758.0,2055.0,4125.0,2018
420,-36.87759375131273,174.79970330894028,New Lynn North,783.0,1566.0,315.0,366.0,186.0,168.0,285.0,198.0,129.0,81.0,462.0,129.0,111.0,9.0,285.0,3270.0,33.0,66.0,21.0,375.0,42.0,27.0,42.0,120.0,105.0,123.0,27.0,126.0,336.0,126.0,9.0,12.0,60.0,12.0,30.0,1095.0,1158.0,402.0,744.0,1299.0,87.0,33.0,417.0,387.0,1842.0,84.0,129.0,93.0,24.0,15.0,2004.0,1095.0,3273.0,2018
422,-36.91315726022858,174.76099694460092,Victoria Park,1035.0,927.0,60.0,57.0,39.0,51.0,162.0,57.0,93.0,72.0,510.0,207.0,186.0,30.0,249.0,2070.0,0.0,33.0,9.0,207.0,12.0,3.0,6.0,6.0,6.0,21.0,3.0,45.0,300.0,90.0,3.0,6.0,39.0,15.0,33.0,1023.0,669.0,66.0,60.0,1224.0,144.0,21.0,177.0,228.0,1527.0,15.0,60.0,24.0,3.0,0.0,939.0,1023.0,2169.0,2018
